cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,country_match,position_match,combined_score,match_signals,recommended_action
a62082bb-02ac-54a1-a89f-a0e1812e97ab,ad2805d2-ea35-5cb9-b77b-c679abdeddcb,thet khaing win,thet khaing win,Burma,zm,100.0,1,1,100.0,"name=100; country=['zm']; position_overlap=['health', 'minister']",AUTO_MERGE
e34a8c44-98dd-5ac0-bc86-3b7b3542af48,54c8d4bc-15b5-51d0-9721-332344f95224,myint kyaing,myint kyaing,Burma,zm,100.0,1,1,100.0,"name=100; country=['zm']; position_overlap=['minister', 'population']",AUTO_MERGE
9d54415d-7bd7-5fd1-a802-831857a8bde0,ea94ea94-8ff4-50f5-9f95-b89370a17a71,khin maung yi,khin maung yi,Burma,zm,100.0,1,1,100.0,name=100; country=['zm']; position_overlap=['minister'],AUTO_MERGE
dbd56978-3c91-5cb4-a160-a74b25559ff1,dd5df561-497b-5864-a00e-77d1aa004542,oscar rolando castro,oscar rolando castro,El Salvador,sv,100.0,1,1,100.0,name=100; country=['sv']; position_overlap=['minister'],AUTO_MERGE
cc616297-3e2c-5035-bb7f-1fdb127363a5,118a1ba5-17c3-5ef9-b6da-2b5c86ddb3a2,song kim,song kim,"Korea, North",kp,100.0,1,1,100.0,name=100; country=['kp']; position_overlap=['representative'],AUTO_MERGE
19d89641-666f-5f5d-a65b-d189af5e95fe,dd11d8a6-1c47-576a-bd7d-9e859c70bbae,vladimir vladimirovich putin,vladimir vladimirovich putin,Russia,ru,100.0,1,1,100.0,name=100; country=['ru']; position_overlap=['president'],AUTO_MERGE
a7ef6f2b-def0-5e28-8b24-11994bcbf1a1,bf4ed30c-c5b8-514e-a182-2cf05077c2fe,elvira sakhipzadovna nabiullina,elvira sakhipzadovna nabiullina,Russia,ru,100.0,1,1,100.0,"name=100; country=['ru']; position_overlap=['bank', 'central']",AUTO_MERGE
847c616c-7fac-5e18-8cd4-83659e454a1f,affd01c7-7dc5-5838-b9e3-b7ba54072d68,michael makuei lueth,michael makuei lueth,South Sudan,ss,100.0,1,1,100.0,"name=100; country=['ss']; position_overlap=['information', 'minister']",AUTO_MERGE
be794450-1d28-5aeb-8689-c472c3831c2a,38a38392-3af8-5618-b95d-bb829bb533dd,emmerson dambudzo mnangagwa,emmerson dambudzo mnangagwa,Zimbabwe,zw,100.0,1,1,100.0,name=100; country=['zw']; position_overlap=['president'],AUTO_MERGE
9f7f1740-b4dd-5baa-9f5c-0df51713cbf6,e2cf87c6-53f3-5425-9a53-7060cadb523b,sergey viktorovich lavrov,sergei viktorovich lavrov,Russia,ru,96.0,1,1,97.6,"name=96; country=['ru']; position_overlap=['affairs', 'foreign']",AUTO_MERGE
c77a5bb1-cfd5-5872-9ec9-9811ba60728d,965a6cd1-096d-5eb6-a3da-47c2d8d0fcde,benjamin bol mel kuol,benjamin bol mel,South Sudan,ss,86.49,1,1,91.89,name=86; country=['ss']; position_overlap=['president'],AUTO_MERGE
cc616297-3e2c-5035-bb7f-1fdb127363a5,93bbb94d-7571-5e6e-84d0-b12b0f27b292,song kim,yong su kim,"Korea, North",kp,84.21,1,1,90.53,name=84; country=['kp']; position_overlap=['representative'],AUTO_MERGE
